"x","MC reward","sarsa reward","q reward"
"100","-0.028719017094017092","-0.07807746844617938","-0.14145491090830073"
"200","-0.026105921855921848","-0.07951625044801111","-0.016178113553113556"
"300","-0.02059158328883392","-0.06517408783310746","-0.057841120388226086"
"400","-0.027951581134125887","-0.04735155688952797","-0.043369470270106035"
"500","-0.027174354154617303","-0.04870322008113592","-0.01794068504594821"
"600","-0.023386305601862868","-0.04134446642883264","-0.013374191984486106"
"700","-0.01735933583959899","-0.03839021164021166","-0.01707738095238096"
"800","-0.02669848374132261","-0.035377353804867624","-0.01532692307692308"
"900","-0.013338935574229684","-0.02550390238416555","-0.01068925518925519"
"1000","-0.019948062558356666","-0.013275793650793653","-0.04702275910364147"
"1100","-0.02055545601741253","-0.014172268907563023","-0.01825020885547202"
"1200","-0.024676095876947267","-0.02512353060882474","-0.03676471958554003"
"1300","-0.05385663021189337","-0.03784320581379406","-0.015984432234432237"
"1400","-0.015415654520917671","-0.020045948368199014","-0.011529761904761902"
"1500","-0.02919582941138668","-0.013949175824175828","-0.020026969762263886"
"1600","-0.021000621841179106","-0.020932461243606763","-0.009011446886446882"
"1700","-0.014035256410256403","-0.009755602240896357","-0.010915095525389645"
"1800","-0.017734432234432225","-0.012053113553113554","-0.01132977806507218"
"1900","-0.018888085598611905","-0.013826368806631966","-0.01818998476583617"
"2000","-0.02311904761904762","-0.019418760110979795","-0.02428501400560225"
"2100","-0.02427178050707462","-0.020858114838378003","-0.013204014939309058"
"2200","-0.02558395517451244","-0.023075809811103937","-0.010016844997108153"
"2300","-0.020130494505494496","-0.01500549450549451","-0.009398001508295624"
"2400","-0.021020604395604388","-0.019561050061050064","-0.01791428089454406"
"2500","-0.03154206662902316","-0.01618925518925519","-0.015478587588881713"
"2600","-0.016172268907563018","-0.024594225949489117","-0.013490079365079363"
"2700","-0.027976756087050202","-0.04541585865115277","-0.007424908424908419"
"2800","-0.00749999999999999","-0.01499323960353372","-0.00020512820512819872"
"2900","-0.021355158730158724","-0.018258699633699634","-0.016607905982905985"
"3000","-0.012828557063851175","-0.031185526315789486","-0.008701923076923074"
"3100","-0.011864372469635617","-0.01237739711269123","-0.016248428858722984"
"3200","-0.015520254255548366","-0.016805205415499538","-0.010650194490751766"
"3300","-0.010653288740245253","-0.020534702139965305","-0.0153686974789916"
"3400","-0.013234432234432224","-0.014971414206708328","-0.008892049127343244"
"3500","-0.005833333333333322","-0.020877814823635262","-0.008157509157509154"
"3600","-0.02449049707602339","-0.019736625216888383","-0.029186091686091688"
"3700","-0.028730780571337843","-0.022951680672268916","-0.01558573044602457"
"3800","-0.014028540903540896","-0.016112637362637367","-0.012035714285714285"
"3900","-0.023232244607244604","-0.023373778998779005","-0.015511204481792717"
"4000","-0.0236829573934837","-0.016422161172161175","-0.02072619047619048"
"4100","-0.023555657305657302","-0.038557952668246784","-0.01651089261615578"
"4200","-0.01067811355311354","-0.02738620448179273","-0.01977258852258853"
"4300","-0.025836493571787682","-0.01696016483516484","-0.015242272347535507"
"4400","-0.023623010949623845","-0.03591165697048051","-0.017178984414278536"
"4500","-0.01887022373051784","-0.008644796380090495","-0.015282051282051281"
"4600","-0.01758252531781943","-0.022776915113871643","-0.013176542411836531"
"4700","-0.0293005757858699","-0.018441306887127328","-0.015070207570207573"
"4800","-0.01956217152412804","-0.01682844932844933","-0.007619047619047616"
"4900","-0.010837606837606826","-0.007472985347985342","-0.015632478632478634"
"5000","-0.018670244616065042","-0.013980463980463981","-0.00621073044602456"
"5100","-0.03989495058717026","-0.020016286001580126","-0.015526098901098902"
"5200","-0.014654761904761896","-0.017487637362637365","-0.01723687423687424"
"5300","-0.018126384966942233","-0.03170482295482295","-0.01532611506140918"
"5400","-0.023127397112691222","-0.017179881899709492","-0.01578790726817042"
"5500","-0.011903540903540892","-0.022602575443132725","-0.015597222222222224"
"5600","-0.030669908088712845","-0.023193432298695468","-0.014392857142857141"
"5700","-0.030305820331762462","-0.02119221129747446","-0.024752401837928168"
"5800","-0.019696428571428566","-0.014479039479039483","-0.021977925583188746"
"5900","-0.01942379515908927","-0.020825605680868844","-0.021955128205128217"
"6000","-0.013955128205128195","-0.011196078431372547","-0.015207525317819437"
"6100","-0.01819847554406377","-0.021329220651471296","-0.043522588522588515"
"6200","-0.007844780219780207","-0.021407059479310122","-0.016130494505494503"
"6300","-0.01808716030271757","-0.012058511663774817","-0.015035256410256414"
"6400","-0.020393707541343557","-0.010073717948717944","-0.013996444731738847"
"6500","-0.02078615779645191","-0.024085030165912524","-0.022735449735449748"
"6600","-0.012915858651152759","-0.025138904954694435","-0.011649572649572646"
"6700","-0.025360303095597208","-0.01672197320223636","-0.036241223344938525"
"6800","-0.04389744723800452","-0.01564800150829563","-0.008324175824175821"
"6900","-0.015833333333333324","-0.008726190476190474","-0.008782509157509154"
"7000","-0.013930510665804774","-0.021810450901008187","-0.0211043956043956"
"7100","-0.03202904040404041","-0.012815126050420164","-0.020016286001580126"
"7200","-0.017835380305968533","-0.014587923428480701","-0.004181318681318677"
"7300","-0.020314255189255184","-0.01474215296198055","-0.015237745098039213"
"7400","-0.016901098901098893","-0.01545971830027558","-0.030433452168746288"
"7500","-0.024398009705554453","-0.01794798534798535","-0.007163461538461537"
"7600","-0.009130036630036618","-0.03629395604395604","-0.017959718300275578"
"7700","-0.013581762192056302","-0.020564113904671187","-0.004476190476190473"
"7800","-0.018097431077694227","-0.018668300653594774","-0.013264652014652012"
"7900","-0.02515995115995116","-0.017427559282822448","-0.02299385010414423"
"8000","-0.021249999999999998","-0.0290439224947739","-0.01508471830027558"
"8100","-0.01527213064713064","-0.010111111111111107","-0.018340820163070808"
"8200","-0.03050754147812971","-0.020775652366209648","-0.0110260989010989"
"8300","-0.0169474005526637","-0.017765522875817","-0.022444958550221716"
"8400","-0.018157409619366134","-0.0195224358974359","-0.011341269841269843"
"8500","-0.023393891969743355","-0.009633699633699627","-0.019015069725596044"
"8600","-0.012529304029304019","-0.0038685897435897384","-0.03242125676181404"
"8700","-0.013949175824175816","-0.025666417646680817","-0.015418650793650795"
"8800","-0.023110746606334838","-0.024088585434173675","-0.013236874236874238"
"8900","-0.014882795223352488","-0.01804570249152293","-0.02031950729009553"
"9000","-0.026686779637631025","-0.006948717948717946","-0.012987637362637361"
"9100","-0.015106792717086825","-0.017976190476190472","-0.008304543409806565"
"9200","-0.017470651080945192","-0.018764652014652015","-0.015767857142857146"
"9300","-0.014545634920634909","-0.018745986856280976","-0.014579573934837095"
"9400","-0.020123179838737106","-0.019289088104877585","-0.003219780219780214"
"9500","-0.021820728291316514","-0.019795697766286004","-0.01559084249084249"
"9600","-0.016517049127343236","-0.014028854351104991","-0.017787348272642396"
"9700","-0.016291666666666656","-0.026015522875816998","-0.022730463980463987"
"9800","-0.024547726783020894","-0.02192104192104193","-0.026773255253518407"
